,sentence #,word,tag,word_idx,tag_idx
260,12,diskusi,O,2682,0
261,12,Spirit,O,5949,0
262,12,Demokrat,O,2123,0
263,12,di,O,4961,0
264,12,Jakarta,B-LOC,1547,6
265,12,",",O,7275,0
266,12,Jumat,O,4131,0
267,12,.,O,6215,0
268,13,Menurut,O,2425,0
269,13,anggota,O,5556,0
270,13,Komisi,O,7516,0
271,13,I,O,5205,0
272,13,itu,O,5216,0
273,13,",",O,7275,0
274,13,Ketua,O,6353,0
275,13,Umum,O,5425,0
276,13,PDI,B-ORG,1056,2
277,13,Perjuangan,I-ORG,733,5
278,13,Megawati,B-PER,3051,4
279,13,Soekarnoputri,I-PER,2093,3
280,13,sebelumnya,O,2911,0
281,13,telah,O,5612,0
282,13,memerintahkan,O,5482,0
283,13,kepada,O,6901,0
284,13,semua,O,2302,0
285,13,kader,O,1538,0
286,13,agar,O,1429,0
287,13,mendukung,O,5756,0
288,13,kebijakan,O,6083,0
289,13,Jokowi,B-PER,8234,4
290,13,.,O,6215,0
291,14,Dikatakan,O,8379,0
292,14,jika,O,4083,0
293,14,seluruh,O,1372,0
294,14,aktivitas,O,2570,0
295,14,itu,O,5216,0
296,14,dilakukan,O,1455,0
297,14,bersama,O,1622,0
298,14,Wapres,O,4879,0
299,14,Boediono,B-PER,1003,4
300,14,di,O,4961,0
301,14,Istana,B-LOC,8304,6
302,14,Negara,I-LOC,4522,1
303,14,.,O,6215,0
304,15,Pemerintah,O,3646,0
305,15,Indonesia,O,1745,0
306,15,terus,O,2673,0
307,15,berupaya,O,595,0
308,15,mempromosikan,O,2515,0
309,15,potensi,O,3289,0
310,15,wisata,O,487,0
311,15,bahari,O,2163,0
312,15,Raja,B-LOC,5089,6
313,15,Ampat,I-LOC,44,1
314,15,sebagai,O,1754,0
315,15,kawasan,O,1185,0
316,15,konservasi,O,2371,0
317,15,perairan,O,5763,0
318,15,dalam,O,2176,0
319,15,rangka,O,541,0
320,15,mengembangkan,O,8510,0
321,15,ekonomi,O,7674,0
322,15,kelautan,O,2372,0
323,15,",",O,7275,0
324,15,kata,O,5420,0
325,15,Menteri,O,7372,0
326,15,Kelautan,O,4498,0
327,15,dan,O,652,0
328,15,Perikanan,O,3298,0
329,15,dalam,O,2176,0
330,15,keterangan,O,3597,0
331,15,tertulis,O,2500,0
332,15,yang,O,5214,0
333,15,diterima,O,2209,0
334,15,di,O,4961,0
335,15,Raja,B-LOC,5089,6
336,15,Ampat,I-LOC,44,1
337,15,",",O,7275,0
338,15,Papua,B-LOC,7019,6
339,15,Barat,I-LOC,1403,1
340,15,",",O,7275,0
341,15,Minggu,O,6182,0
342,15,.,O,6215,0
343,16,Untuk,O,4928,0
344,16,itu,O,5216,0
345,16,",",O,7275,0
346,16,dalam,O,2176,0
347,16,SPM,O,5739,0
348,16,ini,O,452,0
349,16,",",O,7275,0
350,16,masyarakat,O,5828,0
351,16,yang,O,5214,0
352,16,sama,O,2980,0
353,16,sekali,O,6591,0
354,16,awam,O,2422,0
355,16,tentang,O,1554,0
356,16,pasar,O,4231,0
357,16,modal,O,3943,0
358,16,dapat,O,7869,0
359,16,mengenal,O,7915,0
360,16,lebih,O,1596,0
361,16,jauh,O,6071,0
362,16,tentang,O,1554,0
363,16,saham,O,4717,0
364,16,",",O,7275,0
365,16,obligasi,O,4140,0
366,16,dan,O,652,0
367,16,reksadana,O,7266,0
368,16,.,O,6215,0
369,17,Oleh,O,3172,0
370,17,karena,O,3303,0
371,17,ini,O,452,0
372,17,memang,O,2749,0
373,17,kita,O,4705,0
374,17,tidak,O,7285,0
375,17,perlu,O,2094,0
376,17,mencemaskan,O,3864,0
377,17,penyebaran,O,8298,0
378,17,virus,O,1844,0
379,17,ebola,O,4255,0
380,17,ini,O,452,0
381,17,di,O,4961,0
382,17,Indonesia,B-LOC,1745,6
383,17,.,O,6215,0
384,18,Ruhut,B-PER,3010,4
385,18,mengatakan,O,3220,0
386,18,tak,O,5495,0
387,18,ada,O,7538,0
388,18,ambisi,O,6813,0
389,18,politik,O,3094,0
390,18,tertentu,O,4814,0
391,18,terkait,O,4301,0
392,18,dengan,O,3381,0
393,18,dukungannya,O,5373,0
394,18,kepada,O,6901,0
395,18,calon,O,8327,0
396,18,presiden,O,3000,0
397,18,yang,O,5214,0
398,18,sebelumnya,O,2911,0
399,18,sering,O,3054,0
400,18,dikritiknya,O,1219,0
401,18,itu,O,5216,0
402,18,.,O,6215,0
403,19,Jurubicara,O,1276,0
404,19,MDC,B-ORG,4894,2
405,19,sebelumnya,O,2911,0
406,19,mengatakan,O,3220,0
407,19,polisi,O,2952,0
408,19,telah,O,5612,0
409,19,menggunakan,O,7144,0
410,19,semprotan,O,5889,0
411,19,air,O,2195,0
412,19,dan,O,652,0
413,19,gas,O,6610,0
414,19,air,O,2195,0
415,19,mata,O,5208,0
416,19,serta,O,7032,0
417,19,memukuli,O,4981,0
418,19,pendukung,O,5872,0
419,19,partai,O,4326,0
420,19,yang,O,5214,0
421,19,ingin,O,2800,0
422,19,menghadiri,O,5679,0
423,19,pawai,O,3887,0
424,19,tersebut,O,4143,0
425,19,yang,O,5214,0
426,19,sebelumnya,O,2911,0
427,19,dijadwalkan,O,1518,0
428,19,dihadiri,O,3157,0
429,19,oleh,O,5947,0
430,19,pemimpin,O,5463,0
431,19,MDC,B-ORG,4894,2
432,19,Morgan,B-PER,5982,4
433,19,Tsangirai,I-PER,2246,3
434,19,.,O,6215,0
435,20,Menurut,O,2425,0
436,20,dia,O,3727,0
437,20,",",O,7275,0
438,20,sejak,O,6158,0
439,20,Raja,B-LOC,5089,6
440,20,Ampat,I-LOC,44,1
441,20,ditetapkan,O,425,0
442,20,sebagai,O,1754,0
443,20,Kawasan,O,3910,0
444,20,Konservasi,O,6084,0
445,20,Perairan,O,2713,0
446,20,Nasional,O,6931,0
447,20,(KKPN),O,7425,0
448,20,",",O,7275,0
449,20,masyarakat,O,5828,0
450,20,telah,O,5612,0
451,20,banyak,O,3391,0
452,20,merasakan,O,3808,0
453,20,manfaatnya,O,2047,0
454,20,.,O,6215,0
455,21,Begitu,O,4527,0
456,21,kampanye,O,1530,0
457,21,",",O,7275,0
458,21,Rini,B-PER,5687,4
459,21,nempel,O,4108,0
460,21,banget,O,7128,0
461,21,dengan,O,3381,0
462,21,Megawati,B-PER,3051,4
463,21,",",O,7275,0
464,21,eh,O,5616,0
465,21,ternyata,O,3802,0
466,21,pecah,O,1562,0
467,21,kongsi,O,2462,0
468,21,",",O,7275,0
469,21,pengkhianat,O,7760,0
470,21,.,O,6215,0
471,21,Sama,O,2426,0
472,21,dengan,O,3381,0
473,21,yang,O,5214,0
474,21,namanya,O,3319,0
475,21,di,O,4961,0
476,21,pojok,O,8319,0
477,21,ini,O,452,0
478,21,Andi,B-PER,5131,4
479,21,",",O,7275,0
480,21,enggak,O,6445,0
481,21,tahu,O,5531,0
482,21,diri,O,7762,0
483,21,",",O,7275,0
484,21,pengkhianat,O,7760,0
485,21,",",O,7275,0
486,21,anak,O,6843,0
487,21,baru,O,7187,0
488,21,kemarin,O,4822,0
489,21,kok,O,5116,0
490,21,bisa,O,3106,0
491,21,atur-atur,O,8521,0
492,21,republik,O,134,0
493,21,ini?,O,1597,0
494,21,sambung,O,211,0
495,21,dia,O,3727,0
496,21,.,O,6215,0
497,22,Dia,O,7122,0
498,22,mencontohkan,O,8398,0
499,22,ketua,O,4349,0
500,22,umum,O,3155,0
501,22,partai,O,4326,0
502,22,politik,O,3094,0
503,22,lain,O,2367,0
504,22,yang,O,5214,0
505,22,kerap,O,6782,0
506,22,diserang,O,5467,0
507,22,oleh,O,5947,0
508,22,media,O,4453,0
509,22,massa,O,7215,0
510,22,.,O,6215,0
511,23,Satu,O,3202,0
512,23,tahun,O,228,0
513,23,masa,O,1048,0
514,23,jabatan,O,1806,0
515,23,",",O,7275,0
516,23,persoalan,O,4472,0
517,23,ibukota,O,431,0
518,23,seperti,O,7632,0
519,23,kemacetan,O,7725,0
520,23,",",O,7275,0
521,23,banjir,O,3339,0
522,23,dan,O,652,0
523,23,lain,O,2367,0
524,23,sebagainya,O,6034,0
525,23,tidak,O,7285,0
526,23,ada,O,7538,0
527,23,satu,O,3575,0
528,23,pun,O,2691,0
529,23,yang,O,5214,0
530,23,dituntaskan,O,619,0
531,23,.,O,6215,0
532,24,Menurut,O,2425,0
533,24,dia,O,3727,0
534,24,",",O,7275,0
535,24,meskipun,O,936,0
536,24,Mahkamah,B-ORG,7207,2
537,24,Konstitusi,I-ORG,2870,5
538,24,telah,O,5612,0
539,24,memutuskan,O,1961,0
540,24,kartu,O,6204,0
541,24,tanda,O,6836,0
542,24,penduduk,O,3210,0
543,24,(KTP),O,6383,0
544,24,atau,O,671,0
545,24,paspor,O,1535,0
546,24,bisa,O,3106,0
547,24,digunakan,O,4235,0
548,24,sebagai,O,1754,0
549,24,bukti,O,1508,0
550,24,pemilih,O,1716,0
551,24,",",O,7275,0
552,24,hal,O,6127,0
553,24,itu,O,5216,0
554,24,tidak,O,7285,0
555,24,akan,O,607,0
556,24,berpengaruh,O,3359,0
557,24,besar,O,2282,0
558,24,terhadap,O,6889,0
559,24,kualitas,O,2792,0
560,24,pilpres,O,4765,0
561,24,kali,O,5843,0
562,24,ini,O,452,0
563,24,.,O,6215,0
564,25,Tenaga,O,514,0
565,25,kesehatan,O,7241,0
566,25,asing,O,2471,0
567,25,yang,O,5214,0
568,25,akan,O,607,0
569,25,bekerja,O,3986,0
570,25,di,O,4961,0
571,25,Indonesia,B-LOC,1745,6
572,25,harus,O,5970,0
573,25,mengantongi,O,1262,0
574,25,Surat,O,1835,0
575,25,Tanda,O,5415,0
576,25,Registrasi,O,8229,0
577,25,(STR),O,8352,0
578,25,yang,O,5214,0
579,25,dikeluarkan,O,8092,0
580,25,oleh,O,5947,0
581,25,Konsil,B-ORG,3241,2
582,25,Kedokteran,I-ORG,3585,5
583,25,untuk,O,1163,0
584,25,dokter,O,1912,0
585,25,atau,O,671,0
586,25,perawat,O,3932,0
587,25,yang,O,5214,0
588,25,dikeluarkan,O,8092,0
589,25,oleh,O,5947,0
590,25,Majelis,B-ORG,1735,2
591,25,Tenaga,I-ORG,514,5
592,25,Kesehatan,I-ORG,2986,5
593,25,Indonesia,I-ORG,1745,5
594,25,.,O,6215,0
595,26,Namun,O,1971,0
596,26,hingga,O,6753,0
597,26,kemarin,O,4822,0
598,26,",",O,7275,0
599,26,pendaftaran,O,1706,0
600,26,capim,O,3412,0
601,26,KPK,B-ORG,2472,2
602,26,masih,O,8017,0
603,26,sepi,O,115,0
604,26,peminat,O,4745,0
605,26,.,O,6215,0
606,27,Tambahan,O,4758,0
607,27,anggaran,O,3299,0
608,27,satu,O,3575,0
609,27,persen,O,8062,0
610,27,dari,O,2006,0
611,27,PDB,O,7599,0
612,27,hanya,O,2923,0
613,27,mendorong,O,4175,0
614,27,pertumbuhan,O,8222,0
615,27,nasional,O,2755,0
616,27,sebesar,O,7920,0
617,27,"0,17",O,6625,0
618,27,persen,O,8062,0
619,27,",",O,7275,0
620,27,sedangkan,O,5368,0
621,27,India,B-LOC,1017,6
622,27,menembus,O,5025,0
623,27,angka,O,7127,0
624,27,"0,28",O,3813,0
625,27,persen,O,8062,0
626,27,dan,O,652,0
627,27,Tiongkok,B-LOC,4496,6
628,27,"0,33",O,8088,0
629,27,persen,O,8062,0
630,27,.,O,6215,0
631,28,Kemarin,O,6957,0
632,28,",",O,7275,0
633,28,Presiden,O,6498,0
634,28,dan,O,652,0
635,28,Wapres,O,4879,0
636,28,terus,O,2673,0
637,28,bekerja,O,3986,0
638,28,maraton,O,1046,0
639,28,hingga,O,6753,0
640,28,tengah,O,8057,0
641,28,malam,O,5864,0
642,28,di,O,4961,0
643,28,Istana,B-LOC,8304,6
644,28,Jogja,I-LOC,6082,1
645,28,.,O,6215,0
646,28,Siang,O,6286,0
647,28,ini,O,452,0
648,28,Presiden,O,6498,0
649,28,akan,O,607,0
650,28,langsung,O,998,0
651,28,bekerja,O,3986,0
652,28,untuk,O,1163,0
653,28,melanjutkan,O,7171,0
654,28,apa,O,7408,0
655,28,yang,O,5214,0
656,28,ia,O,5670,0
657,28,belum,O,138,0
658,28,selesaikan,O,5419,0
659,28,",",O,7275,0
660,28,ujarnya,O,3526,0
661,28,.,O,6215,0
662,29,Pasalnya,O,2527,0
663,29,",",O,7275,0
664,29,menurut,O,3989,0
665,29,Susno,B-PER,6140,4
666,29,",",O,7275,0
667,29,kasus,O,746,0
668,29,senilai,O,6022,0
669,29,Rp,O,1340,0
670,29,28,O,6603,0
671,29,miliar,O,6690,0
672,29,itu,O,5216,0
673,29,dia,O,3727,0
674,29,yang,O,5214,0
675,29,mengungkapkan,O,5869,0
676,29,.,O,6215,0
677,30,Meski,O,4549,0
678,30,demikian,O,4487,0
679,30,",",O,7275,0
680,30,Ruhut,B-PER,3010,4
681,30,mengatakan,O,3220,0
682,30,tak,O,5495,0
683,30,ada,O,7538,0
684,30,masalah,O,529,0
685,30,hubungan,O,5158,0
686,30,dirinya,O,397,0
687,30,dengan,O,3381,0
688,30,Jokowi,B-PER,8234,4
689,30,.,O,6215,0
690,31,Kecilnya,O,1201,0
691,31,realisasi,O,7641,0
692,31,produksi,O,1877,0
693,31,karena,O,3303,0
694,31,briket,O,5930,0
695,31,tidak,O,7285,0
696,31,kompetitif,O,1345,0
697,31,bila,O,6076,0
698,31,dibandingkan,O,1071,0
699,31,dengan,O,3381,0
700,31,minyak,O,317,0
701,31,tanah,O,7220,0
702,31,yang,O,5214,0
703,31,masih,O,8017,0
704,31,disubsidi,O,950,0
705,31,",",O,7275,0
706,31,katanya,O,5685,0
707,31,.,O,6215,0
708,32,Jokowi,B-PER,8234,4
709,32,memutuskan,O,1961,0
710,32,batal,O,8353,0
711,32,melantik,O,877,0
712,32,Komjen,O,7294,0
713,32,Budi,B-PER,1761,4
714,32,Gunawan,I-PER,1684,3
715,32,yang,O,5214,0
716,32,sudah,O,1432,0
717,32,mendapat,O,5615,0
718,32,persetujuan,O,7480,0
719,32,DPR,B-ORG,3116,2
720,32,untuk,O,1163,0
721,32,menjadi,O,445,0
722,32,Kapolri,O,6024,0
723,32,.,O,6215,0
724,33,Tentara,O,3223,0
725,33,Jepang,O,5538,0
726,33,mendatanginya,O,1466,0
727,33,",",O,7275,0
728,33,tapi,O,723,0
729,33,Frans,B-PER,395,4
730,33,mengaku,O,4560,0
731,33,negatif,O,2521,0
732,33,foto,O,351,0
733,33,sudah,O,1432,0
734,33,diambil,O,626,0
735,33,Barisan,B-ORG,1618,2
736,33,Pelopor,I-ORG,7988,5
737,33,.,O,6215,0
738,34,Dia,O,7122,0
739,34,mengingatkan,O,3270,0
740,34,agar,O,1429,0
741,34,warga,O,1498,0
742,34,tidak,O,7285,0
743,34,mudah,O,8033,0
744,34,terbius,O,109,0
745,34,oleh,O,5947,0
746,34,gaya,O,5400,0
747,34,kepemimpinan,O,2136,0
748,34,Jokowi,B-PER,8234,4
749,34,yang,O,5214,0
750,34,gemar,O,7654,0
751,34,blusukan,O,1358,0
752,34,.,O,6215,0
753,35,Angka,O,7613,0
754,35,itu,O,5216,0
755,35,jauh,O,6071,0
756,35,di,O,4961,0
757,35,bawah,O,5084,0
758,35,negara-negara,O,6304,0
759,35,lain,O,2367,0
760,35,di,O,4961,0
761,35,Asia,B-LOC,2021,6
762,35,Tenggara,I-LOC,3238,1
763,35,seperti,O,7632,0
764,35,Singapura,B-LOC,2307,6
765,35,90,O,8236,0
766,35,persen,O,8062,0
767,35,",",O,7275,0
768,35,Malaysia,B-LOC,108,6
769,35,(60-70,O,5483,0
770,35,persen),O,2586,0
771,35,dan,O,652,0
772,35,Filipina,B-LOC,5629,6
773,35,(30,O,8281,0
774,35,persen),O,2586,0
775,35,.,O,6215,0
776,36,Meski,O,4549,0
777,36,demikian,O,4487,0
778,36,",",O,7275,0
779,36,untuk,O,1163,0
780,36,harga,O,6065,0
781,36,sayuran,O,1401,0
782,36,lainnya,O,579,0
783,36,relatif,O,569,0
784,36,stabil,O,1014,0
785,36,.,O,6215,0
786,37,Sama,O,2426,0
787,37,seperti,O,7632,0
788,37,gejala,O,2814,0
789,37,infeksi,O,8069,0
790,37,virus,O,1844,0
791,37,umumnya,O,5867,0
792,37,",",O,7275,0
793,37,pasien,O,7458,0
794,37,yang,O,5214,0
795,37,mengalami,O,937,0
796,37,infeksi,O,8069,0
797,37,ini,O,452,0
798,37,mengalami,O,937,0
799,37,panas,O,6176,0
800,37,tinggi,O,2359,0
801,37,",",O,7275,0
802,37,nyeri,O,7203,0
803,37,otot,O,682,0
804,37,",",O,7275,0
805,37,sakit,O,1062,0
806,37,kepala,O,6224,0
807,37,dan,O,652,0
808,37,sakit,O,1062,0
809,37,tenggorokan,O,362,0
810,37,.,O,6215,0
811,38,Khususnya,O,6646,0
812,38,warga,O,1498,0
813,38,kota,O,41,0
814,38,Jakarta,B-LOC,1547,6
815,38,dan,O,652,0
816,38,sekitarnya,O,2636,0
817,38,",",O,7275,0
818,38,akibat,O,5790,0
819,38,putusan,O,1255,0
820,38,MK,B-ORG,1582,2
821,38,mengenai,O,6381,0
822,38,sengketa,O,577,0
823,38,pilpres,O,4765,0
824,38,2014,O,4093,0
825,38,.,O,6215,0
826,39,Setidaknya,O,169,0
827,39,570,O,4718,0
828,39,roket,O,7198,0
829,39,ditembakkan,O,7290,0
830,39,ke,O,5973,0
831,39,Israel,B-LOC,1128,6
832,39,sejak,O,6158,0
833,39,gencatan,O,7950,0
834,39,senjata,O,6343,0
835,39,gagal,O,8514,0
836,39,Selasa,O,4713,0
837,39,",",O,7275,0
838,39,tambahnya,O,4409,0
839,39,",",O,7275,0
840,39,Perundingan-perundingan,O,3551,0
841,39,gencatan,O,7950,0
842,39,senjata,O,6343,0
843,39,tidak,O,7285,0
844,39,langsung,O,998,0
845,39,yang,O,5214,0
846,39,ditengahi,O,7895,0
847,39,Mesir,B-LOC,6134,6
848,39,untuk,O,1163,0
849,39,menghentikan,O,132,0
850,39,konflik,O,6206,0
851,39,itu,O,5216,0
852,39,gagal,O,8514,0
853,39,setelah,O,5957,0
854,39,serangan-serangan,O,7765,0
855,39,roket,O,7198,0
856,39,dari,O,2006,0
857,39,Gaza,B-LOC,4665,6
858,39,dalam,O,2176,0
859,39,satu,O,3575,0
860,39,gencatan,O,7950,0
861,39,senjata,O,6343,0
862,39,dan,O,652,0
863,39,Israel,B-LOC,1128,6
864,39,menanggapinya,O,3175,0
865,39,dengan,O,3381,0
866,39,serangan,O,4282,0
867,39,udara,O,3296,0
868,39,.,O,6215,0
869,40,Sama,O,2426,0
870,40,seperti,O,7632,0
871,40,virus,O,1844,0
872,40,lain,O,2367,0
873,40,yang,O,5214,0
874,40,penularannya,O,3073,0
875,40,langsung,O,998,0
876,40,antar,O,656,0
877,40,kontak,O,8110,0
878,40,manusia,O,7627,0
879,40,",",O,7275,0
880,40,bisa,O,3106,0
881,40,saja,O,5829,0
882,40,pasien,O,7458,0
883,40,yang,O,5214,0
884,40,mengalami,O,937,0
885,40,infeksi,O,8069,0
886,40,virus,O,1844,0
887,40,ini,O,452,0
888,40,berasal,O,369,0
889,40,dari,O,2006,0
890,40,negara,O,6491,0
891,40,lain,O,2367,0
892,40,atau,O,671,0
893,40,ditemukan,O,3992,0
894,40,kasusnya,O,7629,0
895,40,di,O,4961,0
896,40,negara,O,6491,0
897,40,lain,O,2367,0
898,40,.,O,6215,0
899,41,Dia,O,7122,0
900,41,berharap,O,7349,0
901,41,pembukaan,O,8374,0
902,41,kantor,O,4211,0
903,41,cabang,O,4158,0
904,41,OJK,B-ORG,1689,2
905,41,di,O,4961,0
906,41,beberapa,O,5085,0
907,41,daerah,O,1573,0
908,41,dapat,O,7869,0
